CAV1|Caveolin-1
ITGA2|CD49b
CHEK1|Chk1
CHEK1|Chk1_pS345
CHEK2|Chk2
CHEK2|Chk2_pT68
BIRC2 |cIAP
COL6A1|Collagen_VI
CCNB1|Cyclin_B1
CCND1|Cyclin_D1
CCNE1|Cyclin_E1
PARK7|DJ-1
DVL3|Dvl3
CDH1|E-Cadherin
EEF2|eEF2
EEF2K|eEF2K
EGFR|EGFR
EGFR|EGFR_pY1068
EGFR|EGFR_pY1173
ESR1|ER-alpha
ESR1|ER-alpha_pS118
MAPK1|ERK2
FN1|Fibronectin
FOXO3|FOXO3a
GAB2|GAB2
GATA3|GATA3
GSK3A GSK3B|GSK3-alpha-beta_pS21_S9
ERBB2|HER2
ERBB3|HER3
ERBB3|HER3_pY1298
HSPA1A|HSP70
IGFBP2|IGFBP2
INPP4B|INPP4B
IRS1|IRS1
MAPK8|JNK_pT183_Y185
MAPK9|JNK2
XRCC5|Ku80
LCK|Lck
STK11|LKB1
MAPK1 MAPK3|MAPK_pT202_Y204
MAP2K1|MEK1
ERRFI1|MIG-6
MRE11A|Mre11
MTOR|mTOR
MTOR|mTOR_pS2448
NFKB1|NF-kB-p65_pS536
NF2|NF2
NOTCH1|Notch1
CDH3|P-Cadherin
CDKN1B|p27
CDKN1B|p27_pT157
MAPK14|p38_MAPK
MAPK14|p38_pT180_Y182
RPS6KB1|p70S6K
RPS6KB1|p70S6K_pT389
RPS6KA1|p90RSK_pT359_S363
SERPINE1|PAI-1
PXN|Paxillin
PCNA|PCNA
PDK1|PDK1_pS241
PRKCA |PKC-alpha
PRKCA |PKC-alpha_pS657
PRKCD|PKC-delta_pS664
PGR|PR
AKT1S1|PRAS40_pT246
PTEN|PTEN
RAD50|Rad50
RAD51|Rad51
RB1|Rb_pS807_S811
RPS6|S6
RPS6|S6_pS240_S244
SHC1|Shc_pY317
SMAD1|Smad1
SMAD3|Smad3
SMAD4|Smad4
SRC|Src
SRC|Src_pY416
SRC|Src_pY527
STAT3|STAT3_pY705
STMN1|Stathmin
SYK|Syk
KDR|VEGFR2
XRCC1|XRCC1
YAP1|YAP
YBX1|YB-1
YBX1|YB-1_pS102
EIF4EBP1|4E-BP1_pT70
ARAF|A-Raf_pS299
ANXA7|Annexin_VII
BRAF|B-Raf
BAD|Bad_pS112
BRCA2|BRCA2
MS4A1|CD20
CCNE2|Cyclin_E2
ETS1|ETS-1
EIF4G1|eIF4G
FASN|FASN
FOXO3|FOXO3a_pS318_S321
FOXM1|FoxM1
G6PD|G6PD
GAPDH|GAPDH
GSK3A GSK3B|GSK3_pS9
NRG1|Heregulin
MYH11|MYH11
MYH9|Myosin-IIa-pS1943
NDRG1|NDRG1_pT346
CDKN1A|p21
CDKN1B|p27_pT198
RPS6KA1|p90RSK
PEA15|PEA15_pS116
PIK3R1 PIK3R2|PI3K-p85
PRKCB|PKC-pan_BetaII_pS660
PRDX1|PRDX1
RAB11A RAB11B|Rab11
RAB25|Rab25
RPTOR|Raptor
RBM15|RBM15
RICTOR|Rictor
SCD1|SCD1
SRSF1|SF2
WWTR1|TAZ
TIGAR|TIGAR
TGM2|Transglutaminase
TSC1|TSC1
TSC2|Tuberin_pT1462
VHL|VHL
XBP1|XBP1
TUBA1B|Acetyl-a-Tubulin-Lys40
SQSTM1|p62-LCK-ligand
YWHAZ|14-3-3_zeta
ACVRL1|ACVRL1
DIRAS3|DIRAS3
ANXA1|Annexin-1
PREX1|PREX1
ERCC1|ERCC1
MSH6|MSH6
DIABLO|Smac
