-0.518,-0.518,-0.448,0.475,0.443,0.443,-0.476,-0.476,-0.476,-0.476,0.476,0.055,0.541,0.056,0.482,0.477,-0.441,-0.056,-0.446,0.449,0.449,0.423,0.454,0.454,0.454,0.454,0.447,0.447,0.465,0.005,0.385,-0.474,-0.461,-0.462,-0.024,0.007,-0.452,-0.026,-0.973,-0.007,-0.023,-0.023,0.0,0.0,0.0,0.0,-0.412,-0.412,0.5,-0.015,1.18,0.032,0.032,-0.525,-0.525,-0.531,3.66,3.66,-0.534,-0.534,3.66,-0.485,-0.927,-0.927,-0.154,-0.481,-0.073,0.379,0.879,0.879,-0.469,-0.469,-0.469,-0.469
-0.023,-0.023,-0.023,-0.016,-0.058,-0.058,-0.058,-0.058,-0.058,-0.058,-0.058,-0.029,-0.029,-0.029,0.019,0.019,0.019,0.013,0.013,0.011,0.011,0.014,0.014,0.014,0.014,0.014,0.026,0.026,0.026,-0.022,-0.022,0.014,0.014,0.014,0.018,0.023,-0.172,-0.172,-0.172,-0.002,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,-0.02,-0.015,-0.015,0.025,0.025,-0.636,-0.644,-0.644,-0.644,2.93,2.93,-0.641,-0.641,1.34,1.69,-0.012,-0.012,-0.017,-0.045,0.02,0.02,0.011,0.011,0.011,0.008,0.008,0.008
0.0,0.0,0.0,0.004,0.009,0.009,0.009,0.009,0.009,0.009,-0.003,-0.006,-0.006,-0.006,-0.638,0.029,0.021,-0.02,-0.01,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,0.017,0.017,0.973,0.325,0.326,0.009,0.021,0.021,0.014,0.002,0.012,-0.652,-0.652,-0.015,-0.015,-0.015,-0.015,-0.015,-0.015,-0.015,0.027,0.005,0.036,0.036,-0.023,0.027,-0.649,-0.669,-0.669,0.289,0.289,0.289,0.289,0.289,0.289,0.289,0.013,0.013,1.12,-0.014,-0.028,-0.028,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
-0.647,-0.647,0.485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.031,0.043,0.043,0.019,0.019,0.037,0.525,-0.573,-0.459,-0.459,-0.459,-0.419,-0.473,-0.473,-0.473,3.66,3.66,0.563,-0.014,-0.055,0.516,0.532,-0.581,0.465,3.66,-0.581,-0.581,-0.581,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,0.004,0.004,-0.018,-0.018,-0.056,-0.049,-0.049,0.297,0.278,0.278,0.278,0.278,0.278,0.278,0.334,0.309,-0.028,-0.028,-0.122,-0.016,0.914,0.914,-0.031,-0.031,-0.011,-0.011,-0.011,-0.024
-0.015,-0.379,-0.362,-0.009,-0.371,-0.371,-0.371,-0.371,-0.371,-0.371,-0.004,0.02,0.02,0.02,-0.007,-0.007,-0.007,-0.005,-0.005,0.351,0.351,0.351,0.351,0.351,0.351,0.351,0.321,0.321,0.352,-0.368,-0.009,0.347,0.347,0.347,-0.007,-0.007,-0.007,-0.007,-0.007,0.396,0.394,0.394,0.394,0.394,-0.375,-0.375,0.023,0.023,0.057,0.057,-0.376,0.391,-0.371,-0.385,-0.385,-0.385,-0.018,-0.018,-0.018,-0.018,-0.018,-0.018,0.0,0.0,0.305,-0.013,-0.019,-0.019,0.065,0.065,0.065,0.065,0.065,0.065
-0.412,-0.415,-0.004,0.008,0.008,0.008,0.008,-0.468,-0.468,-0.468,0.887,-0.013,-0.013,-0.013,-0.018,-0.018,-0.018,-0.015,-0.031,0.049,0.049,0.049,0.049,0.049,0.049,0.049,-0.011,-0.011,0.456,0.009,0.031,0.002,0.013,0.013,0.008,0.021,-0.011,-0.458,-0.458,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,0.043,-0.028,-0.028,-0.001,0.016,0.002,0.305,-0.458,-0.453,-0.453,-0.453,0.465,0.465,0.465,0.465,0.465,0.465,0.006,0.006,0.024,0.014,0.056,0.042,-0.101,-0.101,-0.101,-0.092,-0.092,0.346
-0.022,-0.022,-0.022,-0.016,-0.016,-0.016,-0.016,-0.016,-0.016,-0.016,-0.029,0.39,0.39,0.39,0.41,0.41,0.415,-0.067,0.277,0.423,0.423,0.423,-0.051,-0.051,-0.051,-0.051,0.443,0.443,1.05,-0.509,-0.5,0.457,-0.505,-0.516,-0.044,0.877,1.64,0.449,-0.518,1.18,-0.507,-0.432,-0.357,3.66,-0.504,-0.514,0.355,-0.2,0.052,0.052,-0.053,0.436,0.436,-0.498,-0.541,-0.541,0.748,0.308,-0.412,-0.412,0.449,0.447,-0.051,-0.051,-0.441,0.44,1.39,-0.512,0.112,0.112,0.112,0.112,0.112,0.112
0.013,0.013,-0.472,-0.774,-0.76,-0.76,-0.752,-0.752,-0.765,-0.765,-0.068,-0.322,-0.935,-0.935,-0.804,-0.804,-0.804,0.187,0.147,-0.3,-0.3,-0.292,0.0,0.0,0.0,0.0,2.92,2.92,1.66,0.141,0.158,-0.237,0.001,-0.438,0.106,0.116,0.056,0.056,0.171,2.64,0.091,0.091,0.069,0.069,0.657,0.657,1.01,-1.29,-0.333,-0.39,0.062,-0.784,-0.757,-0.265,-0.265,-0.265,-0.274,-0.274,-0.274,-0.274,-0.274,-0.279,0.162,0.162,0.182,0.099,0.211,0.211,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125
-0.561,-0.591,0.161,1.74,1.09,1.09,0.886,0.886,-0.555,-0.555,0.535,-0.661,-1.01,-1.01,-0.821,-0.803,-0.748,0.751,-0.664,-0.435,0.116,0.283,-0.399,-0.17,-1.29,-1.29,-0.527,-0.527,-0.734,-0.561,-0.617,0.954,-0.677,1.23,-0.185,-0.133,1.46,0.615,-1.22,1.41,-0.586,-0.589,-0.589,-0.589,0.174,0.202,0.732,0.745,0.767,0.92,-0.231,-0.315,-0.429,-0.611,-0.611,-0.611,0.169,0.169,0.169,0.169,1.05,0.744,-0.321,-0.321,0.306,1.0,0.035,-0.405,1.19,0.157,0.157,0.157,0.157,-0.901
0.035,0.035,0.0,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.01,-0.01,-0.01,-0.005,-0.005,-0.005,-0.006,-0.006,-0.003,-0.003,-0.003,-0.003,-0.003,-0.003,-0.003,0.914,0.914,2.23,0.022,0.022,0.01,0.01,0.01,0.009,0.005,0.005,0.012,0.012,0.003,0.003,0.003,0.003,0.003,0.003,0.003,-0.006,-0.006,0.01,0.01,0.022,1.62,-0.71,0.097,0.097,0.097,0.097,0.097,0.097,0.097,0.097,0.097,0.01,0.01,0.04,0.012,-0.242,-0.242,0.045,0.045,0.045,0.045,0.045,0.045
